CCD,V1_NSI_001,V1_NSI_002,V1_NSI_003,V1_NSI_004,V1_NSI_005,V1_NSI_006,V1_NSI_007,V1_NSI_008
,Feedback?,Configuration,Performance,Motion (Jenkinson's Mean):,Feedback?,Configuration,Performance,Motion (Jenkinson's Mean):
CCD080,1,3,,,0,2,,
CCD081,0,0,,,1,1,,
CCD052,1,1,,,0,0,,
CCD082,1,1,,,0,0,,
CCD083,0,2,,,1,3,,
CCD084,1,3,,,0,2,,
CCD072,0,2,,,1,3,,
CCD085,0,2,,,1,3,,
CCD086,0,1,,,1,1,,
CCD087,,,,,,,,
CCD051,1,1,,,0,0,,
CCD088,1,3,,,0,2,,
CCD089,1,3,,,0,2,,
CCD090,0,0,,,1,1,,
CCD091,0,0,,,1,1,,
CCD053,,,,,,,,
CCD092,1,1,,,0,0,,
CCD093,0,0,,,1,1,,
CCD094,0,0,,,1,1,,
CCD095,1,1,,,0,0,,
CCD096,1,3,,,0,2,,
CCD097,0,0,,,1,1,,
CCD098,0,2,,,1,3,,
CCD099,1,1,,,0,0,,
CCD076,0,2,,,1,3,,
CCD075,1,1,,,0,0,,
CCD059,0,2,,,1,3,,
CCD073,1,3,,,0,2,,
CCD074,0,0,,,1,1,,
CCD060,0,0,,,1,1,,
CCD071,1,1,,,0,0,,
CCD061,1,3,,,0,2,,
CCD062,1,1,,,0,0,,
CCD063,1,3,,,0,2,,
CCD064,1,3,,,0,2,,
CCD065,0,2,,,1,3,,
CCD066,0,0,,,1,1,,
CCD031,,,,,,,,
CCD032,,,,,,,,
CCD067,1,1,,,0,0,,
CCD034,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CCD042,0,2,,,1,3,,
CCD033,,,,,,,,
CCD040,0,2,,,1,3,,
CCD041,0,2,,,1,3,,
CCD035,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CCD042,,,,,,,,
