URSI,INTERNAL,JM_INTERNAL,SCAN_1_FEEDBACK,SCAN_1_PARADIGM,SCAN_2_FEEDBACK,SCAN_2_PARADIGM
M10903604,CCD074,CCD074,0,0,1,1
M10908886,CCD059,CCD052,1,1,0,0
M10910591,CCD067,CCD099,1,1,0,0
M10910922,CCD062,CCD094,0,0,1,1
M10914232,CCD072,CCD072,0,2,1,3
M10915824,CCD064,CCD098,0,2,1,3
M10916039,CCD070,CCD060,0,0,1,1
M10916842,CCD049,CCD088,1,3,0,2
M10924018,CCD073,CCD073,1,3,0,2
M10926720,CCD056,CCD040,0,2,1,3
M10926996,CCD063,CCD095,1,1,0,0
M10929973,CCD060,CCD083,0,2,1,3
M10935883,CCD041,CCD064,1,3,0,2
M10938821,CCD071,CCD071,1,1,0,0
M10939212,CCD048,CCD041,0,2,1,3
M10939874,CCD043,CCD062,1,1,0,0
M10939978,CCD069,CCD061,1,3,0,2
M10942579,CCD065,CCD096,1,3,0,2
M10944113,CCD037,CCD063,1,3,0,2
M10945411,CCD039,CCD067,1,1,0,0
M10949447,CCD040,CCD085,0,2,1,3
M10949597,CCD046,CCD091,0,0,1,1
M10952366,CCD055,CCD092,1,1,0,0
M10953114,CCD050,CCD093,0,0,1,1
M10955140,CCD068,CCD059,0,2,1,3
M10955568,CCD038,CCD066,0,0,1,1
M10958560,CCD061,CCD084,1,3,0,2
M10961430,CCD075,CCD075,1,1,0,0
M10962579,CCD042,CCD086,0,0,1,1
M10971044,CCD045,CCD080,1,3,0,2
M10971678,CCD047,CCD082,1,1,0,0
M10974997,CCD057,CCD089,1,3,0,2
M10976213,CCD066,CCD097,0,0,1,1
M10977022,CCD076,CCD076,0,2,1,3
M10977059,CCD044,CCD065,0,2,1,3
M10987724,CCD058,CCD081,0,0,1,1
M10989478,CCD035,CCD042,1,1,0,0
M10990501,CCD054,CCD090,0,0,1,1
,CCD012,CCD012,1,0,0,3
,CCD014,CCD014,1,2,0,1
,CCD015,CCD015,0,3,1,0
,CCD016,CCD016,1,0,0,3
,CCD017,CCD017,0,1,1,2
,CCD018,CCD018,1,2,0,1
,CCD019,CCD019,0,3,1,0
,CCD020,CCD020,1,0,0,3
,CCD021,CCD021,0,1,1,0
,CCD022,CCD022,1,2,0,1
,CCD023,CCD023,0,3,1,0
,CCD024,CCD024,1,0,0,3
,CCD025,CCD025,0,1,1,0
,CCD026,CCD026,1,0,0,3
,CCD027,CCD027,0,1,1,0
,CCD031,CCD031,1,1,0,0
,CCD032,CCD032,0,2,1,3
,CCD033,CCD033,1,3,0,2
,CCD034,CCD034,0,0,1,1
,CCD051,CCD051,1,1,0,0
,CCD052,CCD087,0,2,1,3
,CCD053,CCD053,1,3,0,2
