,Subject,cope,fb,r,w_r
0,CCD012,3,FEEDBACK,-0.106088059913,-0.26924745274
1,CCD012,4,FEEDBACK,-0.0559200121278,-0.180619069186
2,CCD012,3,NOFEEDBACK,-0.288780518506,-0.265152968304
3,CCD012,4,NOFEEDBACK,0.0216323615893,0.129752545971
4,CCD014,3,FEEDBACK,-0.195599711457,-0.24454699284
5,CCD014,4,FEEDBACK,0.0913015815698,0.231645313102
6,CCD014,3,NOFEEDBACK,-0.0524201980774,-0.0226686284416
7,CCD014,4,NOFEEDBACK,0.167772361915,0.339492563497
8,CCD015,3,NOFEEDBACK,0.0717508306912,0.0446344321584
9,CCD015,4,NOFEEDBACK,0.220545164129,0.251858037828
10,CCD015,3,FEEDBACK,-0.308489327319,-0.430184773637
11,CCD015,4,FEEDBACK,-0.220746313009,-0.386625344022
12,CCD016,3,FEEDBACK,-0.422783505369,-0.546546845416
13,CCD016,4,FEEDBACK,-0.270057486394,-0.255670283265
14,CCD016,3,NOFEEDBACK,-0.304991785013,-0.276552853019
15,CCD016,4,NOFEEDBACK,0.225440197077,0.428964453823
16,CCD017,3,NOFEEDBACK,-0.147246394433,-0.33861434395
17,CCD017,4,NOFEEDBACK,-0.00558037180141,-0.193498334822
18,CCD017,3,FEEDBACK,-0.108085884472,-0.118558531067
19,CCD017,4,FEEDBACK,-0.0169717605887,0.0506510329837
20,CCD018,3,FEEDBACK,-0.161059305968,-0.100867525917
21,CCD018,4,FEEDBACK,-0.0216308202311,0.208978091911
22,CCD018,3,NOFEEDBACK,-0.062753051248,0.021385064519
23,CCD018,4,NOFEEDBACK,0.285541732937,0.446478653521
24,CCD019,3,NOFEEDBACK,0.209412138729,0.362479119967
25,CCD019,4,NOFEEDBACK,0.305271246526,0.404319983799
26,CCD019,3,FEEDBACK,-0.0272560597315,-0.0160858630733
27,CCD019,4,FEEDBACK,0.150357461657,0.367344405639
28,CCD020,3,FEEDBACK,-0.0986164383885,-0.242704225485
29,CCD020,4,FEEDBACK,0.0473084728324,-0.0156473115198
30,CCD020,3,NOFEEDBACK,-0.0902321063035,-0.0850030520441
31,CCD020,4,NOFEEDBACK,0.378353200539,0.508658502826
32,CCD021,3,NOFEEDBACK,-0.0061995786581,0.0934607150099
33,CCD021,4,NOFEEDBACK,0.283693665045,0.471880020074
34,CCD021,3,FEEDBACK,-0.0266442708489,0.0183966531537
35,CCD021,4,FEEDBACK,0.00117479116239,0.103434892413
36,CCD022,3,FEEDBACK,-0.266388698977,-0.37983930422
37,CCD022,4,FEEDBACK,-0.216362952445,-0.279499646978
38,CCD022,3,NOFEEDBACK,-0.20643760255,-0.190127166099
39,CCD022,4,NOFEEDBACK,-0.232283589226,-0.283259187386
40,CCD023,3,NOFEEDBACK,0.099407157179,0.261893479456
41,CCD023,4,NOFEEDBACK,0.212831163855,0.384120414245
42,CCD023,3,FEEDBACK,-0.465067018045,-0.481042634212
43,CCD023,4,FEEDBACK,-0.351997922017,-0.344635010331
44,CCD024,3,FEEDBACK,0.00735439098024,0.28121271317
45,CCD024,4,FEEDBACK,0.0990623348591,0.428423746375
46,CCD024,3,NOFEEDBACK,0.147646634872,0.244013897146
47,CCD024,4,NOFEEDBACK,0.273496127408,0.490738946461
48,CCD025,3,NOFEEDBACK,0.0856019390424,0.285027534935
49,CCD025,4,NOFEEDBACK,0.379720826649,0.685803118316
50,CCD025,3,FEEDBACK,-0.0562203990933,-0.0822547107687
