Stim,Stim_Deriv,Cont,Cont_Deriv
-1.420239e-01,-3.266936e-02,-5.576051e-01,1.021307e-02
-1.746916e-01,-3.215121e-02,-5.446216e-01,1.121138e-02
-2.063227e-01,-3.105465e-02,-5.296414e-01,1.306089e-02
-2.367971e-01,-2.996893e-02,-5.129587e-01,1.458351e-02
-2.662565e-01,-2.902105e-02,-4.949329e-01,1.580720e-02
-2.948349e-01,-2.817883e-02,-4.758026e-01,1.684690e-02
-3.226098e-01,-2.739550e-02,-4.556972e-01,1.778521e-02
-3.496213e-01,-2.664145e-02,-4.346899e-01,1.866095e-02
-3.758878e-01,-2.590008e-02,-4.128327e-01,1.948669e-02
-4.014164e-01,-2.516386e-02,-3.901736e-01,2.026179e-02
-4.262103e-01,-2.402821e-02,-3.667658e-01,2.138364e-02
-4.494674e-01,2.813603e-02,-3.418627e-01,7.347648e-02
-3.699327e-01,2.096343e-01,-2.142689e-01,2.548415e-01
-3.019373e-02,3.471354e-01,1.733662e-01,3.921437e-01
3.243407e-01,2.746745e-01,5.755703e-01,3.194198e-01
5.191553e-01,1.263277e-01,8.177636e-01,1.707471e-01
5.769948e-01,2.036697e-02,9.226260e-01,6.439643e-02
5.598875e-01,-3.303915e-02,9.521196e-01,1.053533e-02
5.109149e-01,-5.212715e-02,9.492602e-01,-9.073351e-03
4.556319e-01,-5.186725e-02,9.395364e-01,-9.400090e-03
4.071794e-01,-4.307511e-02,9.360234e-01,-1.260662e-03
3.694811e-01,-3.299321e-02,9.425784e-01,8.102880e-03
3.411927e-01,-2.507462e-02,9.577925e-01,1.523798e-02
3.193317e-01,-1.994964e-02,9.786180e-01,1.951505e-02
3.012935e-01,-1.696244e-02,1.002387e+00,2.159093e-02
2.854070e-01,-1.566017e-02,1.027364e+00,2.191961e-02
2.699735e-01,-6.604807e-02,1.051790e+00,-2.950284e-02
1.533113e-01,-2.456754e-01,9.739235e-01,-2.110292e-01
-2.213760e-01,-3.304071e-01,6.352959e-01,-3.997818e-01
-5.074990e-01,-7.590252e-02,1.799187e-01,-5.080340e-01
-3.731751e-01,2.104582e-01,-3.752202e-01,-4.965042e-01
-8.657747e-02,2.444631e-01,-8.075463e-01,-3.174772e-01
1.157540e-01,1.500271e-01,-1.004638e+00,-1.151838e-01
2.134781e-01,6.364106e-02,-1.032380e+00,1.034761e-02
2.430369e-01,1.043153e-02,-9.784089e-01,6.391774e-02
2.343418e-01,-1.701435e-02,-8.990101e-01,7.456852e-02
2.090089e-01,-2.641482e-02,-8.237363e-01,6.450684e-02
1.815130e-01,-2.512965e-02,-7.644597e-01,4.800401e-02
1.587506e-01,-1.977110e-02,-7.221907e-01,3.293862e-02
1.419720e-01,-1.444878e-02,-6.930442e-01,2.211378e-02
1.298544e-01,-1.064992e-02,-6.724244e-01,1.530945e-02
1.206736e-01,-8.344778e-03,-6.568863e-01,1.124936e-02
1.131663e-01,-7.032772e-03,-6.443865e-01,8.726831e-03
1.066096e-01,-6.263367e-03,-6.338932e-01,6.946093e-03
1.006411e-01,-5.751291e-03,-6.249547e-01,5.486278e-03
9.510861e-02,-5.346189e-03,-6.173810e-01,4.152596e-03
8.995043e-02,-4.993352e-03,-6.111097e-01,2.864165e-03
8.512360e-02,-4.665689e-03,-6.061127e-01,1.588468e-03
8.062078e-02,-4.327032e-03,-6.023927e-01,2.940955e-04
7.647130e-02,-3.981261e-03,-5.999845e-01,-1.025868e-03
7.266005e-02,-3.677012e-03,-5.989044e-01,-2.360543e-03
6.911910e-02,-3.425489e-03,-5.991654e-01,-3.690529e-03
6.581092e-02,-3.194898e-03,-6.007453e-01,-4.985816e-03
6.273117e-02,-2.966016e-03,-6.035970e-01,-6.234362e-03
5.988078e-02,-2.737799e-03,-6.076740e-01,-7.439359e-03
5.725748e-02,-2.513370e-03,-6.129357e-01,-8.605186e-03
5.485597e-02,-2.295470e-03,-6.193445e-01,-9.733572e-03
5.266849e-02,-2.086189e-03,-6.268631e-01,-1.082380e-02
5.068556e-02,-1.886845e-03,-6.354524e-01,-1.187335e-02
4.889678e-02,-1.697903e-03,-6.450702e-01,-1.287880e-02
4.729174e-02,-1.519234e-03,-6.556706e-01,-1.383648e-02
4.586032e-02,-1.350463e-03,-6.672039e-01,-1.474280e-02
4.459283e-02,-1.191169e-03,-6.796171e-01,-1.559461e-02
4.348000e-02,-1.040986e-03,-6.928542e-01,-1.638907e-02
4.251289e-02,-8.996033e-04,-7.068565e-01,-1.712374e-02
4.168283e-02,-7.667326e-04,-7.215632e-01,-1.779659e-02
4.098146e-02,-6.421093e-04,-7.369115e-01,-1.840585e-02
4.040066e-02,-5.254744e-04,-7.528369e-01,-1.895012e-02
3.993257e-02,-4.165653e-04,-7.692739e-01,-1.942833e-02
3.956959e-02,-3.151251e-04,-7.861560e-01,-1.983977e-02
3.930438e-02,-2.208948e-04,-8.034162e-01,-2.018412e-02
3.912986e-02,-1.336138e-04,-8.209872e-01,-2.046139e-02
3.903921e-02,-4.560734e-04,-8.388022e-01,-2.026894e-02
3.821977e-02,-5.181844e-02,-8.559886e-01,3.102280e-02
-6.459560e-02,-2.321246e-01,-7.712204e-01,2.121217e-01
-4.260266e-01,-3.174892e-01,-4.262076e-01,4.004407e-01
-6.995686e-01,-6.355762e-02,3.520378e-02,5.081911e-01
-5.531345e-01,2.223383e-01,5.957243e-01,4.960027e-01
-2.548857e-01,2.558786e-01,1.032767e+00,3.163163e-01
-4.137310e-02,1.609713e-01,1.233922e+00,1.133757e-01
6.705957e-02,7.412520e-02,1.265087e+00,-1.278687e-02
1.068792e-01,2.047948e-02,1.213916e+00,-6.697700e-02
1.080201e-01,-7.386425e-03,1.136700e+00,-7.825099e-02
9.210789e-02,-1.719995e-02,1.062981e+00,-6.882551e-02
7.362188e-02,-1.632346e-02,1.004614e+00,-5.297337e-02
5.946279e-02,-1.136889e-02,9.625981e-01,-3.857155e-02
5.088602e-02,-6.444804e-03,9.330350e-01,-2.842152e-02
4.657516e-02,-3.029177e-03,9.113184e-01,-2.229427e-02
4.482967e-02,-1.071772e-03,8.940094e-01,-1.889387e-02
4.443363e-02,-8.149098e-05,8.790933e-01,-1.702429e-02
4.466872e-02,3.573342e-04,8.655232e-01,-1.592570e-02
4.515032e-02,5.200268e-04,8.528041e-01,-1.518791e-02
4.571079e-02,5.667420e-04,8.407095e-01,-1.460685e-02
4.628582e-02,5.624954e-04,8.291523e-01,-1.409160e-02
4.683779e-02,5.422616e-04,8.180879e-01,-1.360175e-02
4.737235e-02,5.488275e-04,8.075103e-01,-1.309881e-02
4.793745e-02,5.757690e-04,7.974517e-01,-1.257529e-02
4.852589e-02,5.652564e-04,7.879210e-01,-1.204462e-02
4.906995e-02,5.061865e-04,7.789235e-01,-1.152870e-02
4.954025e-02,4.366705e-04,7.704245e-01,-1.106002e-02
4.994528e-02,3.779688e-04,7.623643e-01,-1.064848e-02
5.029817e-02,3.299828e-04,7.546882e-01,-1.028647e-02
5.060723e-02,2.803220e-04,7.473519e-01,-9.973495e-03
5.086079e-02,2.060854e-04,7.403017e-01,-9.723698e-03
